#名前,レア度,スロット,入手時期／HR,入手時期／村☆,入手時期集村(0=or/1=and),スキル系統1,スキル値1,スキル系統2,スキル値2,生産素材A1,個数,生産素材A2,個数,生産素材A3,個数,生産素材A4,個数,生産素材B1,個数,生産素材B2,個数,生産素材B3,個数,生産素材B4,個数
逆境珠【２】,5,2,5,99,0,逆境,3,回復量,-1,修羅原珠,1,化け鮫の上ヒレ,1,黒狼鳥の地獄耳,1,,,,,,,,,,
逆上珠【１】,4,1,4,99,0,逆上,1,体術,-1,修羅原珠,1,骸体殻,1,骸頭骨,1,,,,,,,,,,
逆上珠【２】,5,2,8,99,0,逆上,3,体術,-1,瑠璃原珠,1,堅骸体殻,2,尖骸棘殻,2,,,,,,,,,,
窮地珠【１】,4,1,5,8,0,窮地,1,毒,-1,修羅原珠,1,カンタロスの堅殻,2,マレコガネ,2,,,,,,,,,,
窮地珠【２】,5,2,6,10,0,窮地,3,毒,-1,瑠璃原珠,1,恐暴竜の頭殻,1,赤熱した紅焔嚢,1,,,,,,,,,,
根性珠【１】,4,1,6,10,0,根性,1,調合成功率,-1,修羅原珠,1,金獅子の黒毛,2,金獅子の鋭牙,1,,,,,,,,,,
根性珠【２】,5,2,8,99,0,根性,3,調合成功率,-1,瑠璃原珠,1,金獅子の闘魂,1,金獅子の尖角,2,,,,,,,,,,
忍脚珠【１】,4,1,1,2,0,気配,2,,,水光原珠,1,雲羊鹿の角,2,,,,,,,,,,,,
采配珠【１】,4,1,1,2,0,采配,1,効果持続,-1,水光原珠,1,オトモチケット,2,肉球のスタンプ,2,,,,,,,,,,
名采配珠【１】,5,1,4,7,0,采配,2,,,修羅原珠,1,オトモチケット,3,跳狗竜の上赤皮,2,,,,,,,,,,
号令珠【１】,4,1,1,2,0,号令,1,採取,-1,水光原珠,1,オトモチケット,3,増強剤,2,,,,,,,,,,
号令珠【２】,5,2,5,8,0,号令,3,採取,-1,瑠璃原珠,1,オトモチケット,4,ランポスの上鱗,2,,,,,,,,,,
乗慣珠【１】,4,1,4,7,0,乗り,2,,,修羅原珠,1,奇猿狐の堅長骨,1,徹甲虫の薄羽,1,,,,,,,,,,
飛燕珠【１】,4,1,4,7,0,跳躍,2,,,修羅原珠,1,白兎獣の凍爪,1,奇猿狐の剛毛,2,,,,,,,,,,
無心珠【１】,4,1,8,99,0,無心,1,気配,-1,瑠璃原珠,1,古龍の浄血,1,銀火竜の上鱗,2,,,,,,,,,,
無心珠【３】,6,3,12,99,0,無心,4,気配,-2,金剛原珠,1,赫い龍液,2,太古龍骨,2,,,,,,,,,,
我慢珠【１】,4,1,2,4,0,我慢,2,無心,-1,陽翔原珠,1,雌火竜の翼膜,2,,,,,,,,,,,,
技延珠【１】,4,1,6,99,0,ＳＰ延長,1,無心,-1,陽翔原珠,1,狩技ドリンク,2,,,,,,,,,,,,
技延珠【２】,5,2,10,99,0,ＳＰ延長,3,無心,-1,明王原珠,1,狩技ドリンク,2,異形の堅骨,2,,,,,,,,,,
千里珠【１】,4,1,2,4,0,千里眼,2,,,水光原珠,1,夜鳥の尾羽,1,,,,,,,,,,,,
観察珠【１】,4,1,1,2,0,観察眼,2,,,水光原珠,1,丸鳥の羽,2,双眼鏡,1,,,,,,,,,,
狩人珠【１】,4,1,1,2,0,狩人,2,,,水光原珠,1,サシミウオ,1,生肉,2,,,,,,,,,,
運搬珠【１】,4,1,1,3,0,運搬,2,,,水光原珠,1,狂走エキス,1,,,,,,,,,,,,
加護珠【１】,4,1,2,4,0,加護,1,,,陽翔原珠,1,雌火竜の甲殻,2,,,,,,,,,,,,
神護珠【１】,4,1,7,99,0,加護,2,,,瑠璃原珠,1,金火竜の堅殻,2,勇気の証Ｇ,1,,,,,,,,,,
英雄珠【１】,4,1,6,9,0,英雄の盾,1,運気,-1,修羅原珠,1,火竜の翼,1,斬竜の焔状殻,1,,,,,,,,,,
英雄珠【３】,6,3,7,99,0,英雄の盾,4,運気,-2,瑠璃原珠,1,銀火竜の堅殻,3,金火竜の堅殻,3,,,,,,,,,,
治癒珠【１】,4,1,2,3,0,回復量,1,回復速度,-1,陽翔原珠,1,ブヨブヨした皮,2,ケルビの角,2,,,,,,,,,,
治癒珠【２】,5,2,5,8,0,回復量,3,回復速度,-1,修羅原珠,1,雌火竜の上棘,1,いにしえの秘薬,1,,,,,,,,,,
早復珠【１】,4,1,1,2,0,回復速度,1,食事,-1,水光原珠,1,ジャギィの皮,2,,,,,,,,,,,,
早復珠【２】,5,2,2,3,0,回復速度,3,食事,-1,陽翔原珠,1,怪鳥の甲殻,1,アルビノエキス,2,,,修羅原珠,1,イーオスの上紫鱗,2,,,,
持続珠【１】,4,1,3,4,0,効果持続,2,,,水光原珠,1,翼蛇竜の皮,1,,,,,,,,,,,,
友愛珠【１】,4,1,1,3,0,広域,1,気配,-1,水光原珠,1,怪鳥の翼膜,1,,,,,陽翔原珠,1,オトモチケット,1,小金魚,2,,
友愛珠【２】,5,2,4,7,0,広域,3,気配,-1,修羅原珠,1,怪鳥の地獄耳,1,生命の粉塵,2,,,,,,,,,,
無食珠【１】,4,1,2,3,0,腹減り,2,,,水光原珠,1,キラビートル,1,こんがり肉,1,,,,,,,,,,
食漢珠【１】,4,1,1,2,0,食いしん坊,2,,,水光原珠,1,大きな骨,1,,,,,,,,,,,,
早食珠【１】,4,1,2,3,0,食事,1,回復量,-1,陽翔原珠,1,潜口竜の皮,2,青熊獣の甲殻,2,,,修羅原珠,1,化け鮫の上皮,1,,,,
早食珠【３】,6,3,6,10,0,食事,4,回復量,-2,瑠璃原珠,1,恐暴竜の大牙,2,轟竜の鋭牙,2,,,,,,,,,,
節食珠【１】,4,1,4,7,0,節食,2,気まぐれ,-1,修羅原珠,1,砂竜の上ヒレ,1,竜の爪,3,,,,,,,,,,
肉食珠【１】,4,1,3,6,0,肉食,1,腹減り,-1,陽翔原珠,1,轟竜の牙,2,,,,,,,,,,,,
肉好珠【１】,4,1,6,10,0,肉食,2,,,修羅原珠,1,恐暴竜の頭殻,1,カワズの油,1,,,,,,,,,,
茸好珠【１】,4,1,4,7,0,茸食,2,肉食,-1,修羅原珠,1,堅牢な骨,3,マンドラゴラ,2,,,,,,,,,,
野草珠【１】,4,1,1,2,0,野草知識,2,,,水光原珠,1,薬草,5,,,,,,,,,,,,
博士珠【１】,4,1,1,2,0,調合成功率,2,,,水光原珠,1,調合書①入門編,1,丸鳥の羽,1,,,,,,,,,,
弾製珠【１】,4,1,1,2,0,調合数,2,,,水光原珠,1,小金魚,2,,,,,,,,,,,,
罠師珠【１】,4,1,2,3,0,高速設置,2,,,陽翔原珠,1,潜口竜の皮,1,シビレ罠,1,,,,,,,,,,
採取珠【１】,4,1,1,2,0,採取,2,,,水光原珠,1,ペピポパンプキン,2,,,,,,,,,,,,
蜜集珠【１】,4,1,2,2,0,ハチミツ,1,気まぐれ,-1,水光原珠,1,青熊獣の腕甲,1,,,,,,,,,,,,
蜜占珠【１】,4,1,4,7,0,ハチミツ,2,,,修羅原珠,1,青熊獣の堅腕甲,1,,,,,,,,,,,,
護石珠【１】,4,1,7,99,0,護石王,1,,,瑠璃原珠,1,ノヴァクリスタル,1,火竜の煌液,1,,,,,,,,,,
護石珠【３】,6,3,12,99,0,護石王,4,,,明王原珠,1,ピュアクリスタル,1,砕竜の剛鉄拳,1,,,,,,,,,,
祝福珠【１】,4,1,1,2,0,気まぐれ,2,,,水光原珠,1,鉄鉱石,2,,,,,,,,,,,,
運気珠【１】,4,1,4,7,0,運気,1,気まぐれ,-1,修羅原珠,1,鳥竜玉,1,銀のたまご,2,,,,,,,,,,
運気珠【３】,6,3,7,99,0,運気,4,気まぐれ,-2,瑠璃原珠,1,金火竜の上棘,2,金のたまご,2,,,,,,,,,,
皮剥珠【１】,4,1,6,10,0,剥ぎ取り,1,運気,-1,修羅原珠,1,恐暴竜の黒皮,1,,,,,,,,,,,,
皮剥珠【３】,6,3,8,99,0,剥ぎ取り,4,運気,-2,瑠璃原珠,1,煌黒龍の翼膜,3,嵐龍の鋭爪,3,,,,,,,,,,
捕獲珠【１】,4,1,4,7,0,捕獲,1,運気,-1,修羅原珠,1,勇気の証,1,雷狼竜の帯電毛,1,,,,,,,,,,
捕獲珠【３】,6,3,8,99,0,捕獲,4,運気,-2,瑠璃原珠,1,勇気の証Ｇ,2,炎龍の尖爪,2,,,,,,,,,,
歴鈴珠【１】,4,1,1,2,0,ベルナ,2,,,水光原珠,1,ベルナチケット,1,跳狗竜の鱗,2,,,,,,,,,,
始猟珠【１】,4,1,1,3,0,ココット,2,,,水光原珠,1,ココットチケット,1,怪鳥の鱗,2,,,,,,,,,,
雪花珠【１】,4,1,1,2,0,ポッケ,2,,,水光原珠,1,ポッケチケット,1,マカライト鉱石,2,,,,,,,,,,
仙湯珠【１】,4,1,2,2,0,ユクモ,2,,,水光原珠,1,ユクモチケット,1,青熊獣の毛,2,,,,,,,,,,
識究珠【１】,4,1,99,7,0,龍識船,2,,,修羅原珠,1,龍識船チケット,1,なぞの粘菌,1,,,,,,,,,,
空宴珠【１】,4,1,9,99,0,飛行酒場,2,,,金剛原珠,1,酒場チケット,1,紫毒姫の上鱗,1,,,,,,,,,,
